2024-07-21 01:42:08.530156 -0300 -03 m=+1.066990043 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 114.686458ms
2024-07-21 01:42:08.642314 -0300 -03 m=+1.179148334 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 111.863084ms
2024-07-21 01:42:58.24586 -0300 -03 m=+0.119542126 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 118.410084ms
2024-07-21 01:42:58.362687 -0300 -03 m=+0.236370417 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 116.346209ms
2024-07-21 01:42:58.486117 -0300 -03 m=+0.359801542 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 123.135ms
2024-07-21 01:42:58.60636 -0300 -03 m=+0.480045334 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 119.876292ms
2024-07-21 01:42:58.725646 -0300 -03 m=+0.599332251 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 118.976875ms
2024-07-21 01:42:58.843385 -0300 -03 m=+0.717072584 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 117.369708ms
2024-07-21 01:42:58.960298 -0300 -03 m=+0.833986001 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 116.527666ms
2024-07-21 01:42:59.077729 -0300 -03 m=+0.951418417 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 117.072083ms
2024-07-21 01:42:59.195358 -0300 -03 m=+1.069048334 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 117.264625ms
2024-07-21 01:42:59.31271 -0300 -03 m=+1.186401667 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 116.971125ms
2024-07-21 01:42:59.427757 -0300 -03 m=+1.301449167 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 114.736125ms
2024-07-21 01:47:54.903022 -0300 -03 m=+0.130298793 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 128.508292ms
2024-07-21 01:47:55.023242 -0300 -03 m=+0.250519960 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 119.287791ms
2024-07-21 01:47:55.142472 -0300 -03 m=+0.369750835 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 118.94375ms
2024-07-21 01:47:55.262968 -0300 -03 m=+0.490247210 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 120.156458ms
2024-07-21 01:47:55.385082 -0300 -03 m=+0.612362668 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 121.771875ms
2024-07-21 01:47:55.504523 -0300 -03 m=+0.731804543 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 119.077375ms
2024-07-21 01:47:55.621152 -0300 -03 m=+0.848434960 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 116.310875ms
2024-07-21 01:47:55.732635 -0300 -03 m=+0.959918543 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 111.186875ms
2024-07-21 01:47:55.845553 -0300 -03 m=+1.072838001 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 112.616542ms
2024-07-21 01:47:55.957674 -0300 -03 m=+1.184959335 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 111.741667ms
2024-07-21 01:47:56.068015 -0300 -03 m=+1.295301710 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 109.794542ms

So far, the evaluator average (lexing, parsing, evaluating) is 215ms the next numbers correspond to the addition of constant folding

2024-07-21 14:08:20.644729 -0300 -03 m=+0.246223667 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 243.917375ms
2024-07-21 14:08:20.86847 -0300 -03 m=+0.469963917 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 223.021875ms
2024-07-21 14:08:21.07408 -0300 -03 m=+0.675574542 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 205.217042ms
2024-07-21 14:08:21.276399 -0300 -03 m=+0.877892667 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 201.968916ms
2024-07-21 14:08:21.476179 -0300 -03 m=+1.077673042 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 199.462208ms
2024-07-21 14:08:21.677825 -0300 -03 m=+1.279318751 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 201.325583ms
2024-07-21 14:08:21.883094 -0300 -03 m=+1.484588126 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 204.933792ms
2024-07-21 14:08:22.08561 -0300 -03 m=+1.687103751 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 202.183042ms
2024-07-21 14:08:22.288788 -0300 -03 m=+1.890281792 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 202.844291ms
2024-07-21 14:08:22.490896 -0300 -03 m=+2.092389334 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 201.670958ms
2024-07-21 14:08:22.690398 -0300 -03 m=+2.291891542 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 199.107459ms
2024-07-21 14:08:22.892851 -0300 -03 m=+2.494344917 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 202.127791ms
2024-07-21 14:08:23.097027 -0300 -03 m=+2.698520292 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 203.8105ms

Adding constant folding optimization reduces the average to 206ms (even with the outliers on the first tests), a drop in 9ms in average in evaluation
Next up, are the tests with strength reduction in arithmetic operations

2024-07-21 22:46:41.826459 -0300 -03 m=+0.245428584 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 242.914458ms
2024-07-21 22:46:42.039696 -0300 -03 m=+0.458663709 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 212.672125ms
2024-07-21 22:46:42.249249 -0300 -03 m=+0.668214626 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 209.207208ms
2024-07-21 22:46:42.456601 -0300 -03 m=+0.875565084 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.012667ms
2024-07-21 22:46:42.665021 -0300 -03 m=+1.083983459 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.003541ms
2024-07-21 22:46:42.870778 -0300 -03 m=+1.289738959 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 205.383959ms
2024-07-21 22:46:43.081601 -0300 -03 m=+1.500559918 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.44775ms
2024-07-21 22:46:43.295179 -0300 -03 m=+1.714136293 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 213.19475ms
2024-07-21 22:46:43.502623 -0300 -03 m=+1.921579043 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.099292ms
2024-07-21 22:46:43.711176 -0300 -03 m=+2.130131376 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.204959ms
2024-07-21 22:46:43.921807 -0300 -03 m=+2.340761043 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.269834ms
2024-07-21 22:46:44.128588 -0300 -03 m=+2.547540668 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 206.450291ms
2024-07-21 22:46:44.337943 -0300 -03 m=+2.756894376 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.96625ms
2024-07-21 22:46:44.546246 -0300 -03 m=+2.965195751 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.948833ms
2024-07-21 22:47:23.54595 -0300 -03 m=+0.220330376 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 219.4195ms
2024-07-21 22:47:23.765521 -0300 -03 m=+0.439903251 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 219.166458ms
2024-07-21 22:47:23.98202 -0300 -03 m=+0.656403876 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 216.133291ms
2024-07-21 22:47:24.193545 -0300 -03 m=+0.867931542 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.762625ms
2024-07-21 22:47:24.406174 -0300 -03 m=+1.080562459 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 212.315916ms
2024-07-21 22:47:24.616989 -0300 -03 m=+1.291379292 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.390167ms
2024-07-21 22:47:24.826077 -0300 -03 m=+1.500469084 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.679791ms
2024-07-21 22:47:25.036927 -0300 -03 m=+1.711321292 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.487209ms
2024-07-21 22:47:25.247953 -0300 -03 m=+1.922349542 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.653209ms
2024-07-21 22:47:25.455608 -0300 -03 m=+2.130006459 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.306792ms
2024-07-21 22:47:25.667409 -0300 -03 m=+2.341809084 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 211.492084ms
2024-07-21 22:47:25.879346 -0300 -03 m=+2.553748084 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 211.589125ms
2024-07-21 22:47:26.098337 -0300 -03 m=+2.772741251 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 218.57075ms
2024-07-21 22:47:26.306611 -0300 -03 m=+2.981017251 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.888958ms

Removed Strength reduction
2024-07-21 22:50:13.662224 -0300 -03 m=+0.233474210 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 231.077125ms
2024-07-21 22:50:13.871324 -0300 -03 m=+0.442577251 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.676958ms
2024-07-21 22:50:14.088692 -0300 -03 m=+0.659947501 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 217.042708ms
2024-07-21 22:50:14.296816 -0300 -03 m=+0.868074001 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.81975ms
2024-07-21 22:50:14.508186 -0300 -03 m=+1.079445585 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.966333ms
2024-07-21 22:50:14.717847 -0300 -03 m=+1.289109168 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 209.351083ms
2024-07-21 22:50:14.927443 -0300 -03 m=+1.498707876 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 209.209875ms
2024-07-21 22:50:15.135654 -0300 -03 m=+1.706920751 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.794291ms
2024-07-21 22:50:15.348302 -0300 -03 m=+1.919570751 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 212.298666ms
2024-07-21 22:50:15.5591 -0300 -03 m=+2.130370751 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.469291ms
2024-07-21 22:50:15.768126 -0300 -03 m=+2.339399251 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.63925ms
2024-07-21 22:50:15.978549 -0300 -03 m=+2.549824918 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.001458ms
2024-07-21 22:50:16.194875 -0300 -03 m=+2.766153460 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 215.869875ms
2024-07-21 22:50:16.406414 -0300 -03 m=+2.977694043 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 211.128667ms

2024-07-21 23:30:39.688108 -0300 -03 m=+0.228694501 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 227.546292ms
2024-07-21 23:30:40.133237 -0300 -03 m=+0.673826293 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 208.904334ms
2024-07-21 23:30:40.339906 -0300 -03 m=+0.880497293 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 206.232959ms
2024-07-21 23:30:40.547106 -0300 -03 m=+1.087699084 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 206.831625ms
2024-07-21 23:30:40.758174 -0300 -03 m=+1.298767959 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 210.677584ms
2024-07-21 23:30:41.217721 -0300 -03 m=+1.758319293 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 207.48225ms
2024-07-21 23:30:41.422398 -0300 -03 m=+1.962997126 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 204.237792ms
2024-07-21 23:30:41.626739 -0300 -03 m=+2.167340084 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 203.984459ms
2024-07-21 23:30:41.831071 -0300 -03 m=+2.371673418 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 203.923167ms
2024-07-21 23:30:42.034527 -0300 -03 m=+2.575131209 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 203.075542ms
2024-07-21 23:30:42.239103 -0300 -03 m=+2.779708251 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 204.26625ms
2024-07-21 23:30:42.442909 -0300 -03 m=+2.983515834 | Evaluator Benchmark - 1000 iterations - Apple M2/ARM | Duration: 203.51525ms

2025-01-10 00:07:47.880684 -0500 EST m=+0.156226667 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 154.447625ms
2025-01-10 00:07:48.01326 -0500 EST m=+0.288801459 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 131.919083ms
2025-01-10 00:07:48.146351 -0500 EST m=+0.421891667 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 132.817542ms
2025-01-10 00:07:48.278951 -0500 EST m=+0.554491084 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 132.337083ms
2025-01-10 00:07:48.41513 -0500 EST m=+0.690668917 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 135.936792ms
2025-01-10 00:07:48.618153 -0500 EST m=+0.893691084 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 202.4375ms
2025-01-10 00:07:48.885929 -0500 EST m=+1.161464584 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 267.097ms
2025-01-10 00:07:49.012302 -0500 EST m=+1.287837584 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 126.048792ms
2025-01-10 00:07:49.153686 -0500 EST m=+1.429219917 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 141.057667ms
2025-01-10 00:07:49.287319 -0500 EST m=+1.562852084 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 133.412583ms
2025-01-10 00:07:49.416331 -0500 EST m=+1.691863876 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 128.71975ms
2025-01-10 00:07:49.592089 -0500 EST m=+1.867620167 | Parser Benchmark - 1000 iterations - Apple M2/ARM | Duration: 175.227875ms
